 wavelength,Qext,Qscat,Qabs,
 3.56000E-07, 2.37740E-01, 6.44075E-04, 2.37096E-01,
 3.57000E-07, 2.38251E-01, 6.39229E-04, 2.37611E-01,
 3.58000E-07, 2.38769E-01, 6.34490E-04, 2.38135E-01,
 3.59000E-07, 2.39296E-01, 6.29855E-04, 2.38666E-01,
 3.60000E-07, 2.39831E-01, 6.25324E-04, 2.39206E-01,
 3.61000E-07, 2.40373E-01, 6.20896E-04, 2.39753E-01,
 3.62000E-07, 2.40924E-01, 6.16569E-04, 2.40307E-01,
 3.63000E-07, 2.41481E-01, 6.12343E-04, 2.40869E-01,
 3.64000E-07, 2.42046E-01, 6.08218E-04, 2.41438E-01,
 3.65000E-07, 2.42618E-01, 6.04191E-04, 2.42014E-01,
 3.66000E-07, 2.43197E-01, 6.00263E-04, 2.42596E-01,
 3.67000E-07, 2.43782E-01, 5.96433E-04, 2.43186E-01,
 3.68000E-07, 2.44374E-01, 5.92699E-04, 2.43782E-01,
 3.69000E-07, 2.44972E-01, 5.89061E-04, 2.44383E-01,
 3.70000E-07, 2.45575E-01, 5.85517E-04, 2.44990E-01,
 3.71000E-07, 2.46184E-01, 5.82068E-04, 2.45602E-01,
 3.72000E-07, 2.46798E-01, 5.78711E-04, 2.46219E-01,
 3.73000E-07, 2.47416E-01, 5.75447E-04, 2.46840E-01,
 3.74000E-07, 2.48037E-01, 5.72274E-04, 2.47465E-01,
 3.75000E-07, 2.48662E-01, 5.69191E-04, 2.48093E-01,
 3.76000E-07, 2.49289E-01, 5.66197E-04, 2.48723E-01,
 3.77000E-07, 2.49918E-01, 5.63291E-04, 2.49355E-01,
 3.78000E-07, 2.50548E-01, 5.60471E-04, 2.49988E-01,
 3.79000E-07, 2.51178E-01, 5.57736E-04, 2.50621E-01,
 3.80000E-07, 2.51807E-01, 5.55085E-04, 2.51252E-01,
 3.81000E-07, 2.52435E-01, 5.52517E-04, 2.51882E-01,
 3.82000E-07, 2.53059E-01, 5.50028E-04, 2.52509E-01,
 3.83000E-07, 2.53679E-01, 5.47618E-04, 2.53131E-01,
 3.84000E-07, 2.54293E-01, 5.45284E-04, 2.53748E-01,
 3.85000E-07, 2.54900E-01, 5.43024E-04, 2.54357E-01,
 3.86000E-07, 2.55499E-01, 5.40837E-04, 2.54958E-01,
 3.87000E-07, 2.56088E-01, 5.38715E-04, 2.55550E-01,
